"filename", "language", "JSON", "TypeScript", "Pug", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\createPortfolioPost.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 3, 31
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\deletePortfolioPost.ts", "TypeScript", 0, 27, 0, 0, 0, 2, 2, 31
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\getPortfolioPostById.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 11, 100
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\likePortfolioPost.ts", "TypeScript", 0, 39, 0, 0, 0, 1, 2, 42
"d:\Lenovo\Documents\Project2CP\src\controller\portfolioPostController.ts\updatePortfolioPost.ts", "TypeScript", 0, 89, 0, 0, 0, 4, 3, 96
"d:\Lenovo\Documents\Project2CP\src\controller\postController.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 3, 22
"d:\Lenovo\Documents\Project2CP\src\controller\postController\checkOwnerPost.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"d:\Lenovo\Documents\Project2CP\src\controller\postController\createPost.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 4, 49
"d:\Lenovo\Documents\Project2CP\src\controller\postController\deletePost.ts", "TypeScript", 0, 25, 0, 0, 0, 1, 3, 29
"d:\Lenovo\Documents\Project2CP\src\controller\postController\getPost.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 6, 37
"d:\Lenovo\Documents\Project2CP\src\controller\postController\savePost.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 3, 42
"d:\Lenovo\Documents\Project2CP\src\controller\postController\updatePost.ts", "TypeScript", 0, 80, 0, 0, 0, 4, 6, 90
"d:\Lenovo\Documents\Project2CP\src\controller\reviewController.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 2, 31
